State,x,y
Andhra Pradesh,-95,-140
Andaman & Nicobar,152,-210
Arunachal Pradesh,185,123
Assam,155,85
Bihar,40,60
Chhattisgarh,-30,-10
Dadra & Nagar Haveli,-248,-53
Daman & Diu,-218,-33
Goa,-180,-130
Gujarat,-195,15
Haryana,-130,130
Himachal Pradesh,-103,177
Jammu & Kashmir,-160,210
Jharkhand,25,28
Karnataka,-148,-130
Kerala,-135,-230
Ladakh,-105,230
Lakshadweep,-245,-230
Madhya Pradesh,-110,10
Maharashtra,-128,-35
Manipur,183,55
Meghalaya,125,65
Mizoram,165,25
Nagaland,195,80
Odisha,20,-30
Puducherry,-45,-200
Punjab,-131,156
Rajasthan,-180,75
Sikkim,82,99
Tamil Nadu,-102,-210
Telangana,-85,-90
Tripura,135,35
Uttar Pradesh,-60,90
Uttarakhand,-80,146
West Bengal,80,10
